Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:instance,concept:name,lifecycle:transition,org:group,org:resource,time:timestamp
case-10073,Confirmation of receipt,Resource22,2011/11/29 23:28:08.930,Variant 3,3,task-43868,Confirmation of receipt,complete,EMPTY,Resource22,2011-11-29T23:28:08.930+10:00
case-10073,T02 Check confirmation of receipt,Resource22,2011/11/29 23:40:03.247,Variant 3,3,task-48486,T02 Check confirmation of receipt,complete,Group 4,Resource22,2011-11-29T23:40:03.247+10:00
case-10073,T04 Determine confirmation of receipt,Resource22,2011/11/29 23:40:32.371,Variant 3,3,task-48490,T04 Determine confirmation of receipt,complete,Group 3,Resource22,2011-11-29T23:40:32.371+10:00
case-10073,T05 Print and send confirmation of receipt,Resource22,2011/11/29 23:41:12.227,Variant 3,3,task-48491,T05 Print and send confirmation of receipt,complete,Group 2,Resource22,2011-11-29T23:41:12.227+10:00
case-10073,T06 Determine necessity of stop advice,Resource22,2011/11/29 23:42:10.340,Variant 3,3,task-48487,T06 Determine necessity of stop advice,complete,Group 1,Resource22,2011-11-29T23:42:10.340+10:00
case-10073,T07-1 Draft intern advice aspect 1,Resource22,2011/11/30 19:53:50.203,Variant 3,3,task-48493,T07-1 Draft intern advice aspect 1,complete,Group 13,Resource22,2011-11-30T19:53:50.203+10:00
case-10073,T08 Draft and send request for advice,Resource22,2011/11/30 19:54:46.581,Variant 3,3,task-48492,T08 Draft and send request for advice,complete,Group 1,Resource22,2011-11-30T19:54:46.581+10:00
case-10073,T09-1 Process or receive external advice from party 1,Resource22,2011/11/30 20:02:33.530,Variant 3,3,task-48562,T09-1 Process or receive external advice from party 1,complete,Group 1,Resource22,2011-11-30T20:02:33.530+10:00
case-10073,T06 Determine necessity of stop advice,Resource22,2011/11/30 20:04:28.307,Variant 3,3,task-48563,T06 Determine necessity of stop advice,complete,Group 1,Resource22,2011-11-30T20:04:28.307+10:00
case-10073,T10 Determine necessity to stop indication,Resource22,2011/11/30 20:05:12.807,Variant 3,3,task-48564,T10 Determine necessity to stop indication,complete,Group 1,Resource22,2011-11-30T20:05:12.807+10:00
case-5044,Confirmation of receipt,Resource02,2011/01/11 19:41:14.829,Variant 1,1,task-6375,Confirmation of receipt,complete,EMPTY,Resource02,2011-01-11T19:41:14.829+10:00
case-5044,T02 Check confirmation of receipt,Resource02,2011/01/11 19:42:13.291,Variant 1,1,task-7593,T02 Check confirmation of receipt,complete,EMPTY,Resource02,2011-01-11T19:42:13.291+10:00
