Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:instance,concept:name,lifecycle:transition,org:group,org:resource,time:timestamp
case-10675,Confirmation of receipt,Resource09,2011/12/23 23:36:26.442,Variant 2,2,task-49000,Confirmation of receipt,complete,EMPTY,Resource09,2011-12-23T23:36:26.442+10:00
case-10675,T06 Determine necessity of stop advice,Resource09,2011/12/23 23:38:23.853,Variant 2,2,task-50760,T06 Determine necessity of stop advice,complete,Group 1,Resource09,2011-12-23T23:38:23.853+10:00
case-10675,T10 Determine necessity to stop indication,Resource09,2011/12/23 23:39:08.074,Variant 2,2,task-50761,T10 Determine necessity to stop indication,complete,Group 1,Resource09,2011-12-23T23:39:08.074+10:00
case-4175,Confirmation of receipt,Resource25,2010/11/05 00:18:33.535,Variant 3,3,task-730,Confirmation of receipt,complete,Group 1,Resource25,2010-11-05T00:18:33.535+10:00
case-4175,T06 Determine necessity of stop advice,Resource25,2010/11/05 00:21:59.690,Variant 3,3,task-983,T06 Determine necessity of stop advice,complete,Group 1,Resource25,2010-11-05T00:21:59.690+10:00
case-4175,T07-5 Draft intern advice aspect 5,Resource25,2010/11/10 23:20:21.653,Variant 3,3,task-990,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource25,2010-11-10T23:20:21.653+10:00
case-4175,T06 Determine necessity of stop advice,Resource25,2010/11/10 23:21:06.822,Variant 3,3,task-1352,T06 Determine necessity of stop advice,complete,Group 1,Resource25,2010-11-10T23:21:06.822+10:00
case-4175,T07-5 Draft intern advice aspect 5,Resource25,2010/11/10 23:25:50.320,Variant 3,3,task-1353,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource25,2010-11-10T23:25:50.320+10:00
case-4175,T06 Determine necessity of stop advice,Resource25,2010/11/10 23:26:38.744,Variant 3,3,task-1354,T06 Determine necessity of stop advice,complete,Group 1,Resource25,2010-11-10T23:26:38.744+10:00
case-4175,T10 Determine necessity to stop indication,Resource25,2010/11/10 23:28:05.476,Variant 3,3,task-1355,T10 Determine necessity to stop indication,complete,Group 1,Resource25,2010-11-10T23:28:05.476+10:00
case-4175,T02 Check confirmation of receipt,Resource28,2010/11/11 22:20:04.142,Variant 3,3,task-982,T02 Check confirmation of receipt,complete,EMPTY,Resource28,2010-11-11T22:20:04.142+10:00
case-4175,T04 Determine confirmation of receipt,Resource19,2010/11/17 22:41:03.018,Variant 3,3,task-1374,T04 Determine confirmation of receipt,complete,EMPTY,Resource19,2010-11-17T22:41:03.018+10:00
case-4175,T05 Print and send confirmation of receipt,admin1,2010/11/30 17:56:13.703,Variant 3,3,task-1579,T05 Print and send confirmation of receipt,complete,Group 2,admin1,2010-11-30T17:56:13.703+10:00
case-4532,Confirmation of receipt,Resource05,2010/12/06 20:47:02.080,Variant 4,4,task-1967,Confirmation of receipt,complete,EMPTY,Resource05,2010-12-06T20:47:02.080+10:00
case-4532,T02 Check confirmation of receipt,Resource05,2010/12/06 20:48:57.302,Variant 4,4,task-2943,T02 Check confirmation of receipt,complete,Group 4,Resource05,2010-12-06T20:48:57.302+10:00
case-4532,T04 Determine confirmation of receipt,Resource05,2010/12/06 20:49:16.129,Variant 4,4,task-2947,T04 Determine confirmation of receipt,complete,Group 3,Resource05,2010-12-06T20:49:16.129+10:00
case-4532,T06 Determine necessity of stop advice,Resource05,2010/12/06 20:50:04.994,Variant 4,4,task-2945,T06 Determine necessity of stop advice,complete,Group 1,Resource05,2010-12-06T20:50:04.994+10:00
case-4532,T07-5 Draft intern advice aspect 5,Resource05,2010/12/06 20:50:30.956,Variant 4,4,task-2950,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource05,2010-12-06T20:50:30.956+10:00
case-4532,T06 Determine necessity of stop advice,Resource05,2010/12/06 20:50:52.453,Variant 4,4,task-2951,T06 Determine necessity of stop advice,complete,Group 1,Resource05,2010-12-06T20:50:52.453+10:00
case-4532,T07-5 Draft intern advice aspect 5,Resource05,2010/12/06 20:52:06.628,Variant 4,4,task-2952,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource05,2010-12-06T20:52:06.628+10:00
case-4532,T06 Determine necessity of stop advice,Resource05,2010/12/06 20:54:10.625,Variant 4,4,task-2954,T06 Determine necessity of stop advice,complete,Group 1,Resource05,2010-12-06T20:54:10.625+10:00
case-4532,T07-5 Draft intern advice aspect 5,Resource05,2010/12/06 20:55:50.234,Variant 4,4,task-2957,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource05,2010-12-06T20:55:50.234+10:00
case-4532,T06 Determine necessity of stop advice,Resource05,2010/12/06 20:56:03.915,Variant 4,4,task-2963,T06 Determine necessity of stop advice,complete,Group 1,Resource05,2010-12-06T20:56:03.915+10:00
case-4532,T10 Determine necessity to stop indication,Resource05,2010/12/06 20:56:22.116,Variant 4,4,task-2964,T10 Determine necessity to stop indication,complete,Group 1,Resource05,2010-12-06T20:56:22.116+10:00
case-4532,T05 Print and send confirmation of receipt,admin1,2010/12/07 00:04:27.090,Variant 4,4,task-2948,T05 Print and send confirmation of receipt,complete,Group 2,admin1,2010-12-07T00:04:27.090+10:00
case-4667,Confirmation of receipt,Resource12,2010/12/14 19:10:14.666,Variant 5,5,task-3156,Confirmation of receipt,complete,EMPTY,Resource12,2010-12-14T19:10:14.666+10:00
case-4667,T02 Check confirmation of receipt,Resource24,2010/12/22 23:09:01.192,Variant 5,5,task-4083,T02 Check confirmation of receipt,complete,EMPTY,Resource24,2010-12-22T23:09:01.192+10:00
case-4667,T04 Determine confirmation of receipt,Resource10,2010/12/22 23:14:47.466,Variant 5,5,task-5462,T04 Determine confirmation of receipt,complete,Group 3,Resource10,2010-12-22T23:14:47.466+10:00
case-4667,T05 Print and send confirmation of receipt,admin1,2010/12/24 19:03:05.766,Variant 5,5,task-5465,T05 Print and send confirmation of receipt,complete,Group 2,admin1,2010-12-24T19:03:05.766+10:00
case-4667,T06 Determine necessity of stop advice,Resource12,2011/01/06 21:21:20.609,Variant 5,5,task-4084,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2011-01-06T21:21:20.609+10:00
case-4667,T07-5 Draft intern advice aspect 5,Resource12,2011/01/06 21:21:55.888,Variant 5,5,task-7049,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2011-01-06T21:21:55.888+10:00
case-4667,T06 Determine necessity of stop advice,Resource12,2011/01/06 21:22:24.200,Variant 5,5,task-7050,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2011-01-06T21:22:24.200+10:00
case-4667,T07-5 Draft intern advice aspect 5,Resource12,2011/01/06 21:22:51.490,Variant 5,5,task-7051,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2011-01-06T21:22:51.490+10:00
case-4667,T06 Determine necessity of stop advice,Resource12,2011/01/06 21:23:38.884,Variant 5,5,task-7052,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2011-01-06T21:23:38.884+10:00
case-4667,T10 Determine necessity to stop indication,Resource12,2011/01/06 21:24:09.724,Variant 5,5,task-7053,T10 Determine necessity to stop indication,complete,Group 1,Resource12,2011-01-06T21:24:09.724+10:00
case-4978,Confirmation of receipt,Resource12,2010/12/28 22:41:00.042,Variant 6,6,task-5858,Confirmation of receipt,complete,EMPTY,Resource12,2010-12-28T22:41:00.042+10:00
case-4978,T02 Check confirmation of receipt,Resource12,2010/12/28 22:42:16.852,Variant 6,6,task-6059,T02 Check confirmation of receipt,complete,Group 4,Resource12,2010-12-28T22:42:16.852+10:00
case-4978,T04 Determine confirmation of receipt,Resource12,2010/12/28 22:44:21.732,Variant 6,6,task-6061,T04 Determine confirmation of receipt,complete,Group 3,Resource12,2010-12-28T22:44:21.732+10:00
case-4978,T06 Determine necessity of stop advice,Resource12,2010/12/28 22:48:35.091,Variant 6,6,task-6060,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2010-12-28T22:48:35.091+10:00
case-4978,T07-5 Draft intern advice aspect 5,Resource12,2010/12/28 22:50:35.760,Variant 6,6,task-6064,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2010-12-28T22:50:35.760+10:00
case-4978,T06 Determine necessity of stop advice,Resource12,2010/12/28 22:51:22.871,Variant 6,6,task-6065,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2010-12-28T22:51:22.871+10:00
case-4978,T07-5 Draft intern advice aspect 5,Resource12,2010/12/28 22:52:06.561,Variant 6,6,task-6066,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2010-12-28T22:52:06.561+10:00
case-4978,T06 Determine necessity of stop advice,Resource12,2010/12/28 22:53:08.382,Variant 6,6,task-6067,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2010-12-28T22:53:08.382+10:00
case-4978,T07-5 Draft intern advice aspect 5,Resource12,2010/12/28 22:54:25.935,Variant 6,6,task-6068,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2010-12-28T22:54:25.935+10:00
case-4978,T06 Determine necessity of stop advice,Resource12,2010/12/28 22:55:00.162,Variant 6,6,task-6069,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2010-12-28T22:55:00.162+10:00
case-4978,T07-5 Draft intern advice aspect 5,Resource12,2010/12/28 22:55:43.786,Variant 6,6,task-6070,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2010-12-28T22:55:43.786+10:00
case-4978,T06 Determine necessity of stop advice,Resource12,2010/12/28 22:57:46.642,Variant 6,6,task-6071,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2010-12-28T22:57:46.642+10:00
case-4978,T05 Print and send confirmation of receipt,Resource12,2011/01/03 22:52:15.336,Variant 6,6,task-6063,T05 Print and send confirmation of receipt,complete,Group 2,Resource12,2011-01-03T22:52:15.336+10:00
case-4978,T07-5 Draft intern advice aspect 5,Resource12,2011/01/03 22:55:42.514,Variant 6,6,task-6072,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2011-01-03T22:55:42.514+10:00
case-4978,T06 Determine necessity of stop advice,Resource12,2011/01/03 23:00:58.818,Variant 6,6,task-6579,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2011-01-03T23:00:58.818+10:00
case-4978,T07-5 Draft intern advice aspect 5,Resource12,2011/01/03 23:01:42.761,Variant 6,6,task-6580,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2011-01-03T23:01:42.761+10:00
case-4978,T06 Determine necessity of stop advice,Resource12,2011/01/03 23:02:43.156,Variant 6,6,task-6581,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2011-01-03T23:02:43.156+10:00
case-4978,T10 Determine necessity to stop indication,Resource12,2011/01/03 23:03:13.971,Variant 6,6,task-6582,T10 Determine necessity to stop indication,complete,Group 1,Resource12,2011-01-03T23:03:13.971+10:00
case-6902,Confirmation of receipt,Resource12,2011/05/02 17:53:08.159,Variant 7,7,task-19528,Confirmation of receipt,complete,EMPTY,Resource12,2011-05-02T17:53:08.159+10:00
case-6902,T02 Check confirmation of receipt,Resource12,2011/05/02 17:53:55.304,Variant 7,7,task-22925,T02 Check confirmation of receipt,complete,Group 4,Resource12,2011-05-02T17:53:55.304+10:00
case-6902,T04 Determine confirmation of receipt,Resource12,2011/05/02 17:54:58.525,Variant 7,7,task-22928,T04 Determine confirmation of receipt,complete,Group 3,Resource12,2011-05-02T17:54:58.525+10:00
case-6902,T05 Print and send confirmation of receipt,Resource12,2011/05/02 17:55:21.659,Variant 7,7,task-22929,T05 Print and send confirmation of receipt,complete,Group 2,Resource12,2011-05-02T17:55:21.659+10:00
case-6902,T06 Determine necessity of stop advice,Resource12,2011/05/02 17:56:28.248,Variant 7,7,task-22926,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2011-05-02T17:56:28.248+10:00
case-6902,T07-5 Draft intern advice aspect 5,Resource12,2011/05/02 17:57:45.909,Variant 7,7,task-22932,T07-5 Draft intern advice aspect 5,complete,Group 1,Resource12,2011-05-02T17:57:45.909+10:00
case-6902,T06 Determine necessity of stop advice,Resource12,2011/05/02 17:58:06.941,Variant 7,7,task-22935,T06 Determine necessity of stop advice,complete,Group 1,Resource12,2011-05-02T17:58:06.941+10:00
