Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,concept:name,impact,lifecycle:transition,org:group,org:role,organization country,organization involved,product,resource country
1-322980802,Accepted-In Progress,Kerstin,2009/09/21 20:13:43.000,Variant 1,1,Accepted,Medium,In Progress,Org line V2,,se,T2 2nd,PROD631,Sweden
1-322980802,Completed-Closed,Kerstin,2012/02/07 20:22:11.000,Variant 1,1,Completed,Medium,Closed,Org line V2,,se,T2 2nd,PROD631,Sweden
1-342442140,Accepted-In Progress,Lena,2010/01/05 23:42:20.000,Variant 1,1,Accepted,Medium,In Progress,Org line A2,A2_3,se,G354 3rd,PROD708,Sweden
1-342442140,Completed-Closed,Lena,2012/03/20 23:14:00.000,Variant 1,1,Completed,Medium,Closed,Org line A2,A2_3,se,G354 3rd,PROD708,Sweden
1-349857482,Accepted-In Progress,Anders,2010/01/27 20:58:09.000,Variant 1,1,Accepted,Medium,In Progress,Org line A2,A2_2,se,G341 3rd,PROD246,Sweden
1-349857482,Completed-Closed,Anders,2012/02/29 19:20:13.000,Variant 1,1,Completed,Medium,Closed,Org line A2,A2_2,se,G341 3rd,PROD246,Sweden
1-359781492,Accepted-In Progress,Eva,2010/03/11 17:02:02.000,Variant 1,1,Accepted,Medium,In Progress,Org line V2,,se,T2 2nd,PROD451,Sweden
1-359781492,Completed-Closed,Eva,2012/03/15 21:27:03.000,Variant 1,1,Completed,Medium,Closed,Org line V2,,se,T2 2nd,PROD451,Sweden
1-363041157,Accepted-In Progress,Lena,2010/03/26 15:24:05.000,Variant 1,1,Accepted,Medium,In Progress,Org line A2,A2_3,se,G354 3rd,PROD708,Sweden
1-363041157,Completed-Closed,Lena,2012/03/20 23:16:39.000,Variant 1,1,Completed,Medium,Closed,Org line A2,A2_3,se,G354 3rd,PROD708,Sweden
1-371631962,Accepted-In Progress,Lena,2010/05/05 16:21:02.000,Variant 1,1,Accepted,Medium,In Progress,Org line A2,A2_3,se,G354 3rd,PROD708,Sweden
1-371631962,Completed-Closed,Lena,2012/03/20 23:17:35.000,Variant 1,1,Completed,Medium,Closed,Org line A2,A2_3,se,G354 3rd,PROD708,Sweden
1-375670011,Accepted-In Progress,Helene,2010/05/25 20:17:44.000,Variant 1,1,Accepted,Medium,In Progress,Org line G4,,se,S30 2nd,PROD410,Sweden
1-375670011,Completed-Closed,Helene,2012/01/16 21:31:56.000,Variant 1,1,Completed,Medium,Closed,Org line G4,,se,S30 2nd,PROD410,Sweden
1-383789251,Accepted-In Progress,Susanne,2010/07/01 18:20:33.000,Variant 1,1,Accepted,Medium,In Progress,Org line G4,,se,S28 2nd,PROD633,Sweden
1-383789251,Completed-Closed,Susanne,2012/01/09 22:31:04.000,Variant 1,1,Completed,Medium,Closed,Org line G4,,se,S28 2nd,PROD633,Sweden
1-385278464,Accepted-In Progress,Pekka,2010/07/08 19:53:30.000,Variant 1,1,Accepted,Low,In Progress,Org line V2,,se,T3 2nd,PROD29,Sweden
1-385278464,Completed-Closed,Pekka,2012/02/09 16:42:24.000,Variant 1,1,Completed,Low,Closed,Org line V2,,se,T3 2nd,PROD29,Sweden
1-392590655,Accepted-In Progress,Tord,2010/08/18 20:00:14.000,Variant 1,1,Accepted,Medium,In Progress,Org line G4,,se,S28 2nd,PROD108,Sweden
1-392590655,Completed-Closed,Tord,2012/01/24 21:49:26.000,Variant 1,1,Completed,Medium,Closed,Org line G4,,se,S28 2nd,PROD108,Sweden
1-402328919,Accepted-In Progress,Tomas,2010/09/16 22:39:32.000,Variant 1,1,Accepted,Low,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-402328919,Completed-Closed,Tomas,2012/05/29 16:32:02.000,Variant 1,1,Completed,Low,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-413665008,Accepted-In Progress,Tomas,2010/10/26 15:14:34.000,Variant 1,1,Accepted,High,In Progress,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-413665008,Completed-Closed,Tomas,2012/05/29 16:24:46.000,Variant 1,1,Completed,High,Closed,Org line A2,A2_2,cn,M1 2nd,PROD753,Sweden
1-423484126,Accepted-In Progress,Per,2010/11/24 16:02:16.000,Variant 1,1,Accepted,Medium,In Progress,Org line C,,se,G37 2nd,PROD415,Sweden
1-423484126,Completed-Closed,Per,2012/02/29 18:56:20.000,Variant 1,1,Completed,Medium,Closed,Org line C,,se,G37 2nd,PROD415,Sweden
