Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-9076,Confirmation of receipt,Resource33,2011/08/15 22:51:34.879,Variant 4,4,Internet,General,Group 11,Resource25,task-36455,complete,EMPTY
case-9076,T02 Check confirmation of receipt,Resource33,2011/08/16 01:08:35.629,Variant 4,4,Internet,General,Group 11,Resource25,task-36467,complete,EMPTY
case-9076,T06 Determine necessity of stop advice,Resource33,2011/08/16 16:47:33.884,Variant 4,4,Internet,General,Group 11,Resource25,task-36468,complete,Group 1
case-9076,T04 Determine confirmation of receipt,Resource33,2011/08/16 16:52:10.147,Variant 4,4,Internet,General,Group 11,Resource25,task-36488,complete,Group 3
case-9076,T05 Print and send confirmation of receipt,admin1,2011/08/24 17:30:21.294,Variant 4,4,Internet,General,Group 11,Resource25,task-36498,complete,Group 2
case-9076,T07-5 Draft intern advice aspect 5,Resource33,2011/08/29 19:26:14.520,Variant 4,4,Internet,General,Group 11,Resource25,task-36497,complete,Group 1
case-9076,T08 Draft and send request for advice,Resource33,2011/08/29 21:16:38.971,Variant 4,4,Internet,General,Group 11,Resource25,task-36496,complete,Group 1
case-9076,T09-3 Process or receive external advice from party 3,Resource25,2011/10/04 22:15:39.384,Variant 4,4,Internet,General,Group 11,Resource25,task-37391,complete,Group 1
case-9076,T06 Determine necessity of stop advice,Resource25,2011/10/04 22:16:25.969,Variant 4,4,Internet,General,Group 11,Resource25,task-41558,complete,Group 1
case-9076,T10 Determine necessity to stop indication,Resource25,2011/10/04 22:16:54.150,Variant 4,4,Internet,General,Group 11,Resource25,task-41559,complete,Group 1
case-891,Confirmation of receipt,Resource26,2010/10/02 17:20:39.266,Variant 5,5,Internet,General,,Resource26,task-4,complete,Group 1
case-891,T02 Check confirmation of receipt,Resource26,2010/10/02 17:21:26.588,Variant 5,5,Internet,General,,Resource26,task-5,complete,Group 4
case-891,T03 Adjust confirmation of receipt,Resource26,2010/10/02 17:31:12.836,Variant 5,5,Internet,General,,Resource26,task-7,complete,Group 1
case-891,T02 Check confirmation of receipt,Resource26,2010/10/02 17:31:40.160,Variant 5,5,Internet,General,,Resource26,task-8,complete,Group 4
case-891,T03 Adjust confirmation of receipt,Resource26,2010/10/02 17:32:01.401,Variant 5,5,Internet,General,,Resource26,task-9,complete,Group 1
case-891,T02 Check confirmation of receipt,Resource21,2010/11/09 23:13:52.563,Variant 5,5,Internet,General,,Resource26,task-10,complete,Group 4
case-891,T04 Determine confirmation of receipt,Resource21,2010/11/09 23:14:10.016,Variant 5,5,Internet,General,,Resource26,task-1275,complete,Group 3
case-891,T05 Print and send confirmation of receipt,Resource21,2010/11/09 23:14:22.628,Variant 5,5,Internet,General,,Resource26,task-1276,complete,Group 2
case-891,T06 Determine necessity of stop advice,Resource21,2010/11/09 23:14:37.300,Variant 5,5,Internet,General,,Resource26,task-6,complete,Group 1
case-891,T07-1 Draft intern advice aspect 1,Resource21,2010/11/09 23:17:36.097,Variant 5,5,Internet,General,,Resource26,task-1277,complete,Group 13
case-891,T06 Determine necessity of stop advice,Resource26,2010/11/10 16:52:33.800,Variant 5,5,Internet,General,,Resource26,task-1278,complete,Group 1
case-891,T07-1 Draft intern advice aspect 1,Resource26,2010/11/10 16:52:51.041,Variant 5,5,Internet,General,,Resource26,task-1335,complete,Group 13
case-891,T06 Determine necessity of stop advice,Resource26,2010/11/10 16:53:08.065,Variant 5,5,Internet,General,,Resource26,task-1336,complete,Group 1
case-891,T10 Determine necessity to stop indication,admin1,2010/11/10 18:38:45.959,Variant 5,5,Internet,General,,Resource26,task-1337,complete,Group 1
case-891,T11 Create document X request unlicensed,admin1,2010/11/10 18:38:57.202,Variant 5,5,Internet,General,,Resource26,task-1338,complete,Group 1
case-891,T12 Check document X request unlicensed,admin1,2010/11/10 18:39:07.674,Variant 5,5,Internet,General,,Resource26,task-1339,complete,Group 4
case-891,T14 Determine document X request unlicensed,admin1,2010/11/10 18:39:21.494,Variant 5,5,Internet,General,,Resource26,task-1340,complete,Group 3
case-891,T15 Print document X request unlicensed,Resource26,2010/11/12 22:40:44.291,Variant 5,5,Internet,General,,Resource26,task-1341,complete,Group 2
case-9532,Confirmation of receipt,Resource25,2011/10/25 17:12:28.347,Variant 6,6,Internet,General,Group 6,Resource37,task-38815,complete,EMPTY
case-9532,T02 Check confirmation of receipt,Resource25,2011/10/25 17:12:58.682,Variant 6,6,Internet,General,Group 6,Resource37,task-44353,complete,Group 4
case-9532,T04 Determine confirmation of receipt,Resource25,2011/10/25 17:13:21.444,Variant 6,6,Internet,General,Group 6,Resource37,task-44355,complete,Group 3
case-9532,T05 Print and send confirmation of receipt,Resource25,2011/10/25 17:13:40.512,Variant 6,6,Internet,General,Group 6,Resource37,task-44356,complete,Group 2
case-9532,T06 Determine necessity of stop advice,Resource25,2011/10/25 17:14:07.874,Variant 6,6,Internet,General,Group 6,Resource37,task-44354,complete,Group 1
case-9532,T08 Draft and send request for advice,Resource25,2011/10/25 17:14:42.520,Variant 6,6,Internet,General,Group 6,Resource37,task-44357,complete,Group 1
case-9532,T09-3 Process or receive external advice from party 3,Resource25,2011/10/25 17:15:24.426,Variant 6,6,Internet,General,Group 6,Resource37,task-44358,complete,Group 1
case-9532,T06 Determine necessity of stop advice,Resource25,2011/10/25 17:15:51.403,Variant 6,6,Internet,General,Group 6,Resource37,task-44359,complete,Group 1
case-9532,T10 Determine necessity to stop indication,Resource25,2011/10/25 17:16:20.683,Variant 6,6,Internet,General,Group 6,Resource37,task-44360,complete,Group 1
case-4997,Confirmation of receipt,Resource15,2011/01/05 19:10:22.641,Variant 7,7,Internet,General,,Resource15,task-5997,complete,EMPTY
case-4997,T06 Determine necessity of stop advice,Resource15,2011/01/05 19:17:46.929,Variant 7,7,Internet,General,,Resource15,task-6808,complete,Group 1
case-4997,T02 Check confirmation of receipt,Resource15,2011/01/05 19:25:20.918,Variant 7,7,Internet,General,,Resource15,task-6807,complete,EMPTY
case-4997,T04 Determine confirmation of receipt,Resource10,2011/01/05 21:33:24.735,Variant 7,7,Internet,General,,Resource15,task-6811,complete,Group 3
