Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-10062,Confirmation of receipt,admin2,2011/10/18 21:34:39.087,Variant 1,1,Internet,Customer contact,,admin3,task-43664,complete,Group 1
case-10075,Confirmation of receipt,admin2,2011/10/20 19:57:52.783,Variant 1,1,Internet,Customer contact,,admin3,task-43984,complete,Group 1
case-10095,Confirmation of receipt,admin2,2011/11/14 18:26:07.385,Variant 1,1,Internet,General,Group 5,Resource05,task-44056,complete,EMPTY
case-10139,Confirmation of receipt,admin2,2011/10/21 18:07:16.084,Variant 1,1,Internet,Customer contact,,admin3,task-44093,complete,Group 1
case-10163,Confirmation of receipt,admin2,2011/10/27 18:17:24.156,Variant 1,1,Internet,Customer contact,,admin3,task-44838,complete,Group 1
case-10194,Confirmation of receipt,admin2,2012/01/17 20:28:47.373,Variant 1,1,Internet,General,Group 5,Resource02,task-44570,complete,EMPTY
case-10195,Confirmation of receipt,admin2,2012/01/17 20:29:39.271,Variant 1,1,Internet,General,Group 5,Resource02,task-44573,complete,EMPTY
case-10210,Confirmation of receipt,admin2,2011/11/03 01:23:22.365,Variant 1,1,Internet,General,Group 8,Resource01,task-44918,complete,EMPTY
case-10228,Confirmation of receipt,admin2,2011/10/31 19:14:35.980,Variant 1,1,Internet,Customer contact,,admin3,task-45092,complete,Group 1
case-10244,Confirmation of receipt,admin2,2011/11/03 01:13:16.366,Variant 1,1,Internet,Customer contact,,admin3,task-45408,complete,Group 1
case-10259,Confirmation of receipt,admin2,2011/12/07 23:16:30.384,Variant 1,1,Internet,General,Group 5,Resource09,task-45351,complete,EMPTY
case-10266,Confirmation of receipt,admin2,2011/11/15 20:45:03.544,Variant 1,1,Internet,General,Group 5,Resource06,task-45368,complete,EMPTY
case-10273,Confirmation of receipt,admin2,2011/12/09 19:19:25.642,Variant 1,1,Internet,General,Group 5,Resource04,task-45420,complete,EMPTY
case-10291,Confirmation of receipt,admin2,2011/11/18 00:25:46.106,Variant 1,1,Internet,General,Group 2,Resource03,task-45419,complete,EMPTY
