Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-4762,Confirmation of receipt,Resource25,2010/12/14 23:18:22.511,Variant 7,7,Desk,General,,Resource25,task-4169,complete,Group 1
case-4762,T06 Determine necessity of stop advice,Resource25,2010/12/14 23:19:59.793,Variant 7,7,Desk,General,,Resource25,task-4195,complete,Group 1
case-4762,T07-2 Draft intern advice aspect 2,Resource25,2010/12/14 23:21:46.996,Variant 7,7,Desk,General,,Resource25,task-4198,complete,Group 15
case-4762,T08 Draft and send request for advice,Resource25,2010/12/14 23:23:12.190,Variant 7,7,Desk,General,,Resource25,task-4197,complete,Group 1
case-4762,T09-3 Process or receive external advice from party 3,Resource25,2010/12/14 23:23:26.150,Variant 7,7,Desk,General,,Resource25,task-4202,complete,Group 1
case-4762,T06 Determine necessity of stop advice,Resource25,2010/12/14 23:24:32.145,Variant 7,7,Desk,General,,Resource25,task-4204,complete,Group 1
case-4762,T07-2 Draft intern advice aspect 2,Resource25,2010/12/14 23:25:01.495,Variant 7,7,Desk,General,,Resource25,task-4208,complete,Group 15
case-4762,T06 Determine necessity of stop advice,Resource25,2010/12/14 23:25:20.301,Variant 7,7,Desk,General,,Resource25,task-4209,complete,Group 1
case-4762,T10 Determine necessity to stop indication,Resource25,2010/12/14 23:25:46.918,Variant 7,7,Desk,General,,Resource25,task-4210,complete,Group 1
case-4762,T02 Check confirmation of receipt,Resource25,2010/12/15 00:28:36.139,Variant 7,7,Desk,General,,Resource25,task-4194,complete,Group 4
case-4762,T04 Determine confirmation of receipt,Resource25,2010/12/15 00:28:58.029,Variant 7,7,Desk,General,,Resource25,task-4253,complete,Group 3
case-4762,T05 Print and send confirmation of receipt,Resource25,2010/12/15 00:29:17.828,Variant 7,7,Desk,General,,Resource25,task-4254,complete,Group 2
case-6437,Confirmation of receipt,Resource21,2011/03/14 19:59:59.290,Variant 5,5,Internet,General,,Resource21,task-16035,complete,Group 1
case-6437,T06 Determine necessity of stop advice,admin2,2011/08/18 16:45:50.227,Variant 5,5,Internet,General,,Resource21,task-16038,complete,Group 1
case-6437,T02 Check confirmation of receipt,admin2,2011/08/18 16:45:50.819,Variant 5,5,Internet,General,,Resource21,task-16037,complete,EMPTY
case-8441,Confirmation of receipt,Resource27,2011/07/07 21:35:43.950,Variant 5,5,Internet,General,Group 8,Resource01,task-31314,complete,Group 1
case-8441,T06 Determine necessity of stop advice,admin2,2011/07/15 21:45:49.995,Variant 5,5,Internet,General,Group 8,Resource01,task-31316,complete,Group 1
case-8441,T02 Check confirmation of receipt,admin2,2011/07/15 21:45:50.767,Variant 5,5,Internet,General,Group 8,Resource01,task-31315,complete,EMPTY
case-9088,Confirmation of receipt,Resource30,2011/09/05 17:20:22.831,Variant 5,5,Internet,General,Group 7,Resource35,task-36508,complete,EMPTY
case-9088,T06 Determine necessity of stop advice,admin2,2011/09/05 18:52:53.482,Variant 5,5,Internet,General,Group 7,Resource35,task-37967,complete,Group 1
case-9088,T02 Check confirmation of receipt,admin2,2011/09/05 18:52:54.095,Variant 5,5,Internet,General,Group 7,Resource35,task-37966,complete,Group 4
case-9894,Confirmation of receipt,Resource26,2011/10/04 23:21:40.365,Variant 5,5,Internet,General,Group 2,Resource21,task-41446,complete,EMPTY
case-9894,T06 Determine necessity of stop advice,admin2,2011/10/06 00:54:18.610,Variant 5,5,Internet,General,Group 2,Resource21,task-41597,complete,Group 1
case-9894,T02 Check confirmation of receipt,admin2,2011/10/06 00:54:19.195,Variant 5,5,Internet,General,Group 2,Resource21,task-41596,complete,EMPTY
case-5595,Confirmation of receipt,Resource09,2011/03/08 18:54:58.423,Variant 8,8,Internet,General,,Resource09,task-10059,complete,EMPTY
case-5595,T06 Determine necessity of stop advice,Resource09,2011/03/08 18:56:18.083,Variant 8,8,Internet,General,,Resource09,task-15447,complete,Group 1
case-5595,T08 Draft and send request for advice,Resource09,2011/03/08 18:57:10.588,Variant 8,8,Internet,General,,Resource09,task-15449,complete,Group 1
case-5595,T07-1 Draft intern advice aspect 1,Resource09,2011/03/08 19:03:22.949,Variant 8,8,Internet,General,,Resource09,task-15450,complete,Group 13
case-5595,T07-2 Draft intern advice aspect 2,Resource09,2011/03/08 19:03:43.830,Variant 8,8,Internet,General,,Resource09,task-15451,complete,Group 15
case-5595,T09-1 Process or receive external advice from party 1,Resource09,2011/03/08 19:04:03.072,Variant 8,8,Internet,General,,Resource09,task-15452,complete,Group 1
case-5595,T06 Determine necessity of stop advice,Resource09,2011/03/08 19:04:17.627,Variant 8,8,Internet,General,,Resource09,task-15454,complete,Group 1
case-5595,T10 Determine necessity to stop indication,Resource09,2011/03/08 19:04:36.616,Variant 8,8,Internet,General,,Resource09,task-15455,complete,Group 1
case-5595,T02 Check confirmation of receipt,Resource24,2011/03/24 19:32:54.458,Variant 8,8,Internet,General,,Resource09,task-15446,complete,EMPTY
case-5595,T03 Adjust confirmation of receipt,Resource09,2011/04/18 22:29:18.014,Variant 8,8,Internet,General,,Resource09,task-17533,complete,Group 1
case-5595,T02 Check confirmation of receipt,Resource09,2011/04/18 22:29:36.540,Variant 8,8,Internet,General,,Resource09,task-20833,complete,Group 4
case-5595,T04 Determine confirmation of receipt,Resource09,2011/04/18 22:29:49.734,Variant 8,8,Internet,General,,Resource09,task-20834,complete,Group 3
case-5595,T05 Print and send confirmation of receipt,Resource09,2011/04/18 22:30:01.996,Variant 8,8,Internet,General,,Resource09,task-20835,complete,Group 2
case-4157,Confirmation of receipt,Resource11,2010/11/30 17:24:42.997,Variant 9,9,Internet,Customer contact,,Resource11,task-659,complete,EMPTY
case-4157,T06 Determine necessity of stop advice,Resource11,2010/11/30 17:25:31.275,Variant 9,9,Internet,Customer contact,,Resource11,task-2290,complete,Group 1
case-4157,T06 Determine necessity of stop advice,Resource11,2010/11/30 17:26:34.330,Variant 9,9,Internet,Customer contact,,Resource11,task-2291,complete,Group 1
case-4157,T06 Determine necessity of stop advice,Resource11,2010/11/30 17:27:08.940,Variant 9,9,Internet,Customer contact,,Resource11,task-2292,complete,Group 1
case-4157,T07-4 Draft internal advice to hold for type 4,Resource11,2010/11/30 17:27:59.445,Variant 9,9,Internet,Customer contact,,Resource11,task-2293,complete,EMPTY
case-4157,T06 Determine necessity of stop advice,Resource11,2010/11/30 17:28:44.151,Variant 9,9,Internet,Customer contact,,Resource11,task-2294,complete,Group 1
case-4157,T10 Determine necessity to stop indication,Resource11,2010/11/30 17:29:45.853,Variant 9,9,Internet,Customer contact,,Resource11,task-2295,complete,Group 1
case-4157,T02 Check confirmation of receipt,Resource11,2010/12/08 20:07:58.906,Variant 9,9,Internet,Customer contact,,Resource11,task-2289,complete,EMPTY
case-4157,T04 Determine confirmation of receipt,Resource11,2010/12/08 20:08:59.730,Variant 9,9,Internet,Customer contact,,Resource11,task-3258,complete,EMPTY
case-4157,T05 Print and send confirmation of receipt,admin1,2010/12/10 22:34:40.772,Variant 9,9,Internet,Customer contact,,Resource11,task-3259,complete,Group 2
case-7980,Confirmation of receipt,Resource05,2011/06/16 23:10:50.230,Variant 10,10,Internet,General,Group 10,Resource53,task-28317,complete,Group 1
case-7980,T02 Check confirmation of receipt,Resource05,2011/06/17 01:43:29.021,Variant 10,10,Internet,General,Group 10,Resource53,task-28821,complete,Group 4
case-7980,T06 Determine necessity of stop advice,Resource05,2011/06/17 01:43:58.860,Variant 10,10,Internet,General,Group 10,Resource53,task-28822,complete,Group 1
case-7980,T06 Determine necessity of stop advice,Resource05,2011/06/17 01:44:54.732,Variant 10,10,Internet,General,Group 10,Resource53,task-28844,complete,Group 1
case-7980,T06 Determine necessity of stop advice,Resource05,2011/06/21 17:10:30.832,Variant 10,10,Internet,General,Group 10,Resource53,task-28845,complete,Group 1
case-7980,T10 Determine necessity to stop indication,Resource05,2011/06/21 17:45:18.435,Variant 10,10,Internet,General,Group 10,Resource53,task-29255,complete,Group 1
case-7980,T03 Adjust confirmation of receipt,Resource05,2011/06/21 19:41:10.753,Variant 10,10,Internet,General,Group 10,Resource53,task-28843,complete,Group 1
case-7980,T02 Check confirmation of receipt,Resource05,2011/06/21 19:41:32.123,Variant 10,10,Internet,General,Group 10,Resource53,task-29298,complete,Group 4
case-7980,T04 Determine confirmation of receipt,Resource05,2011/06/21 19:41:51.657,Variant 10,10,Internet,General,Group 10,Resource53,task-29300,complete,Group 3
