Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-10857,Confirmation of receipt,Resource13,2012/01/05 04:36:09.258,Variant 2,2,Internet,General,Group 5,Resource13,task-49946,complete,EMPTY
case-10857,T06 Determine necessity of stop advice,Resource13,2012/01/05 04:37:33.931,Variant 2,2,Internet,General,Group 5,Resource13,task-51231,complete,Group 1
case-10857,T10 Determine necessity to stop indication,Resource13,2012/01/05 04:53:52.494,Variant 2,2,Internet,General,Group 5,Resource13,task-51232,complete,Group 1
case-10857,T16 Report reasons to hold request,Resource13,2012/01/05 04:54:44.634,Variant 2,2,Internet,General,Group 5,Resource13,task-51233,complete,Group 1
case-10857,T17 Check report Y to stop indication,Resource13,2012/01/05 04:55:41.647,Variant 2,2,Internet,General,Group 5,Resource13,task-51234,complete,EMPTY
case-10857,T19 Determine report Y to stop indication,Resource13,2012/01/05 04:56:18.050,Variant 2,2,Internet,General,Group 5,Resource13,task-51235,complete,EMPTY
case-10857,T20 Print report Y to stop indication,Resource13,2012/01/05 04:56:54.192,Variant 2,2,Internet,General,Group 5,Resource13,task-51236,complete,Group 2
case-10857,T02 Check confirmation of receipt,Resource13,2012/01/05 17:19:19.141,Variant 2,2,Internet,General,Group 5,Resource13,task-51230,complete,EMPTY
case-10857,T04 Determine confirmation of receipt,Resource13,2012/01/05 21:47:06.479,Variant 2,2,Internet,General,Group 5,Resource13,task-51250,complete,EMPTY
case-10857,T05 Print and send confirmation of receipt,Resource13,2012/01/05 21:47:44.454,Variant 2,2,Internet,General,Group 5,Resource13,task-51359,complete,EMPTY
case-4021,Confirmation of receipt,Resource11,2010/11/01 22:55:26.056,Variant 2,2,Internet,General,,Resource01,task-366,complete,Group 1
case-4021,T06 Determine necessity of stop advice,Resource11,2010/11/01 22:56:49.019,Variant 2,2,Internet,General,,Resource01,task-663,complete,Group 1
case-4021,T10 Determine necessity to stop indication,Resource11,2010/11/01 22:59:17.587,Variant 2,2,Internet,General,,Resource01,task-664,complete,Group 1
case-4021,T16 Report reasons to hold request,Resource11,2010/11/01 23:08:01.278,Variant 2,2,Internet,General,,Resource01,task-665,complete,Group 1
case-4021,T17 Check report Y to stop indication,Resource11,2010/11/01 23:21:05.870,Variant 2,2,Internet,General,,Resource01,task-666,complete,Group 4
case-4021,T19 Determine report Y to stop indication,Resource11,2010/11/01 23:22:02.839,Variant 2,2,Internet,General,,Resource01,task-667,complete,Group 3
case-4021,T20 Print report Y to stop indication,Resource11,2010/11/01 23:22:22.753,Variant 2,2,Internet,General,,Resource01,task-668,complete,Group 2
case-4021,T02 Check confirmation of receipt,Resource32,2010/11/09 17:47:01.792,Variant 2,2,Internet,General,,Resource01,task-662,complete,EMPTY
case-4021,T04 Determine confirmation of receipt,Resource19,2010/11/09 22:04:41.176,Variant 2,2,Internet,General,,Resource01,task-1229,complete,EMPTY
case-4021,T05 Print and send confirmation of receipt,Resource20,2010/11/11 21:54:27.065,Variant 2,2,Internet,General,,Resource01,task-1272,complete,Group 2
case-4592,Confirmation of receipt,Resource07,2010/12/14 19:02:42.366,Variant 4,4,Internet,General,,Resource07,task-2502,complete,EMPTY
case-4592,T06 Determine necessity of stop advice,Resource07,2010/12/14 19:03:43.130,Variant 4,4,Internet,General,,Resource07,task-4069,complete,Group 1
case-4592,T10 Determine necessity to stop indication,Resource07,2010/12/14 19:04:53.418,Variant 4,4,Internet,General,,Resource07,task-4071,complete,Group 1
case-4592,T16 Report reasons to hold request,Resource07,2010/12/14 19:08:02.373,Variant 4,4,Internet,General,,Resource07,task-4075,complete,Group 1
