Case ID,Activity,Resource,Complete Timestamp,Variant,Variant index,(case) channel,(case) department,(case) group,(case) responsible,concept:instance,lifecycle:transition,org:group
case-5533,Confirmation of receipt,Resource17,2011/02/14 17:39:23.914,Variant 4,4,Internet,General,,Resource17,task-9731,complete,EMPTY
case-5533,T02 Check confirmation of receipt,Resource17,2011/02/14 17:40:05.195,Variant 4,4,Internet,General,,Resource17,task-12103,complete,EMPTY
case-5533,T06 Determine necessity of stop advice,Resource17,2011/02/14 17:40:18.353,Variant 4,4,Internet,General,,Resource17,task-12104,complete,Group 1
case-5533,T10 Determine necessity to stop indication,Resource17,2011/02/14 17:40:35.976,Variant 4,4,Internet,General,,Resource17,task-12106,complete,Group 1
case-5533,T11 Create document X request unlicensed,Resource17,2011/02/14 17:57:35.249,Variant 4,4,Internet,General,,Resource17,task-12107,complete,Group 1
case-5533,T12 Check document X request unlicensed,Resource15,2011/02/14 18:17:01.432,Variant 4,4,Internet,General,,Resource17,task-12111,complete,EMPTY
case-5533,T04 Determine confirmation of receipt,Resource10,2011/02/14 21:01:30.911,Variant 4,4,Internet,General,,Resource17,task-12105,complete,Group 3
case-5533,T14 Determine document X request unlicensed,Resource10,2011/02/14 21:03:23.014,Variant 4,4,Internet,General,,Resource17,task-12119,complete,Group 3
case-5533,T05 Print and send confirmation of receipt,admin1,2011/02/15 20:21:45.035,Variant 4,4,Internet,General,,Resource17,task-12160,complete,Group 2
case-5533,T15 Print document X request unlicensed,admin1,2011/02/15 20:25:09.113,Variant 4,4,Internet,General,,Resource17,task-12164,complete,Group 2
case-4516,Confirmation of receipt,Resource17,2010/12/09 20:58:38.877,Variant 5,5,Internet,General,,Resource17,task-1944,complete,EMPTY
case-4516,T06 Determine necessity of stop advice,Resource17,2010/12/09 21:00:00.659,Variant 5,5,Internet,General,,Resource17,task-3466,complete,Group 1
case-4516,T10 Determine necessity to stop indication,Resource17,2010/12/09 22:44:21.064,Variant 5,5,Internet,General,,Resource17,task-3467,complete,Group 1
case-4516,T11 Create document X request unlicensed,Resource17,2011/01/04 20:04:26.169,Variant 5,5,Internet,General,,Resource17,task-3491,complete,Group 1
case-4516,T12 Check document X request unlicensed,Resource24,2011/01/04 20:58:58.041,Variant 5,5,Internet,General,,Resource17,task-6670,complete,EMPTY
case-4516,T02 Check confirmation of receipt,Resource17,2011/01/07 17:57:03.458,Variant 5,5,Internet,General,,Resource17,task-3465,complete,EMPTY
case-4516,T04 Determine confirmation of receipt,Resource17,2011/01/07 17:57:48.917,Variant 5,5,Internet,General,,Resource17,task-7149,complete,EMPTY
case-4516,T05 Print and send confirmation of receipt,Resource17,2011/01/07 17:58:30.889,Variant 5,5,Internet,General,,Resource17,task-7150,complete,EMPTY
case-4516,T13 Adjust document X request unlicensed,Resource17,2011/01/07 17:58:41.064,Variant 5,5,Internet,General,,Resource17,task-6683,complete,Group 1
case-4516,T12 Check document X request unlicensed,Resource17,2011/01/07 17:59:10.268,Variant 5,5,Internet,General,,Resource17,task-7151,complete,Group 4
case-4516,T14 Determine document X request unlicensed,Resource10,2011/01/07 20:28:15.929,Variant 5,5,Internet,General,,Resource17,task-7152,complete,EMPTY
case-4516,T15 Print document X request unlicensed,Resource17,2011/01/10 20:01:52.812,Variant 5,5,Internet,General,,Resource17,task-7223,complete,Group 2
case-9395,Confirmation of receipt,Resource03,2011/09/19 22:51:41.225,Variant 6,6,Internet,General,Group 8,Resource01,task-38123,complete,EMPTY
case-9395,T02 Check confirmation of receipt,Resource03,2011/09/19 22:52:23.816,Variant 6,6,Internet,General,Group 8,Resource01,task-39481,complete,Group 4
case-9395,T06 Determine necessity of stop advice,Resource03,2011/09/19 22:54:19.103,Variant 6,6,Internet,General,Group 8,Resource01,task-39482,complete,Group 1
case-9395,T10 Determine necessity to stop indication,Resource03,2011/09/19 22:59:12.713,Variant 6,6,Internet,General,Group 8,Resource01,task-39485,complete,Group 1
case-9395,T11 Create document X request unlicensed,Resource03,2011/09/21 20:38:15.584,Variant 6,6,Internet,General,Group 8,Resource01,task-39486,complete,Group 1
case-9395,T04 Determine confirmation of receipt,Resource03,2011/09/21 20:38:33.934,Variant 6,6,Internet,General,Group 8,Resource01,task-39484,complete,EMPTY
case-9395,T05 Print and send confirmation of receipt,Resource10,2011/09/22 22:09:53.320,Variant 6,6,Internet,General,Group 8,Resource01,task-39772,complete,EMPTY
case-9395,T12 Check document X request unlicensed,Resource01,2011/09/23 18:12:10.134,Variant 6,6,Internet,General,Group 8,Resource01,task-39771,complete,Group 4
case-9395,T14 Determine document X request unlicensed,Resource03,2011/09/23 18:18:08.982,Variant 6,6,Internet,General,Group 8,Resource01,task-40036,complete,Group 3
case-9395,T15 Print document X request unlicensed,Resource03,2011/09/23 18:18:23.789,Variant 6,6,Internet,General,Group 8,Resource01,task-40039,complete,Group 2
case-10071,Confirmation of receipt,Resource21,2011/10/19 17:56:55.204,Variant 1,1,Internet,General,Group 2,Resource21,task-43844,complete,Group 1
case-10071,T02 Check confirmation of receipt,Resource21,2011/10/19 17:57:39.722,Variant 1,1,Internet,General,Group 2,Resource21,task-43846,complete,Group 4
case-10071,T04 Determine confirmation of receipt,Resource21,2011/10/19 17:58:15.323,Variant 1,1,Internet,General,Group 2,Resource21,task-43848,complete,Group 3
case-10071,T05 Print and send confirmation of receipt,Resource21,2011/10/19 17:58:36.018,Variant 1,1,Internet,General,Group 2,Resource21,task-43849,complete,Group 2
case-10071,T06 Determine necessity of stop advice,Resource21,2011/10/19 17:58:54.326,Variant 1,1,Internet,General,Group 2,Resource21,task-43847,complete,Group 1
case-10071,T10 Determine necessity to stop indication,Resource21,2011/10/20 22:06:59.060,Variant 1,1,Internet,General,Group 2,Resource21,task-43850,complete,Group 1
case-10071,T11 Create document X request unlicensed,Resource21,2012/01/18 18:48:33.680,Variant 1,1,Internet,General,Group 2,Resource21,task-44022,complete,Group 1
case-10071,T12 Check document X request unlicensed,Resource21,2012/01/18 18:49:09.359,Variant 1,1,Internet,General,Group 2,Resource21,task-53047,complete,Group 4
case-10071,T14 Determine document X request unlicensed,Resource21,2012/01/18 18:49:44.753,Variant 1,1,Internet,General,Group 2,Resource21,task-53049,complete,Group 3
case-10071,T15 Print document X request unlicensed,Resource21,2012/01/18 18:50:57.577,Variant 1,1,Internet,General,Group 2,Resource21,task-53051,complete,Group 2
case-10357,Confirmation of receipt,Resource06,2011/11/09 20:29:46.788,Variant 1,1,Internet,General,Group 5,Resource06,task-45881,complete,EMPTY
case-10357,T02 Check confirmation of receipt,Resource06,2011/11/09 20:30:08.582,Variant 1,1,Internet,General,Group 5,Resource06,task-45961,complete,Group 4
case-10357,T04 Determine confirmation of receipt,Resource06,2011/11/09 20:30:27.273,Variant 1,1,Internet,General,Group 5,Resource06,task-45963,complete,Group 3
case-10357,T05 Print and send confirmation of receipt,Resource06,2011/11/09 20:30:44.331,Variant 1,1,Internet,General,Group 5,Resource06,task-45964,complete,Group 2
case-10357,T06 Determine necessity of stop advice,Resource06,2011/11/09 20:31:04.655,Variant 1,1,Internet,General,Group 5,Resource06,task-45962,complete,Group 1
case-10357,T10 Determine necessity to stop indication,Resource06,2011/11/09 20:31:33.707,Variant 1,1,Internet,General,Group 5,Resource06,task-45965,complete,Group 1
case-10357,T11 Create document X request unlicensed,Resource06,2011/11/09 20:34:00.271,Variant 1,1,Internet,General,Group 5,Resource06,task-45966,complete,Group 1
case-10357,T12 Check document X request unlicensed,Resource06,2011/11/09 20:40:14.529,Variant 1,1,Internet,General,Group 5,Resource06,task-45967,complete,Group 4
case-10357,T14 Determine document X request unlicensed,Resource06,2011/11/09 20:40:39.482,Variant 1,1,Internet,General,Group 5,Resource06,task-45968,complete,Group 3
case-10357,T15 Print document X request unlicensed,admin1,2011/11/14 18:21:48.805,Variant 1,1,Internet,General,Group 5,Resource06,task-45969,complete,EMPTY
case-5531,Confirmation of receipt,Resource02,2011/02/18 21:31:08.898,Variant 1,1,Internet,General,,Resource02,task-9723,complete,EMPTY
case-5531,T02 Check confirmation of receipt,Resource02,2011/02/18 21:31:23.873,Variant 1,1,Internet,General,,Resource02,task-13033,complete,Group 4
case-5531,T04 Determine confirmation of receipt,Resource02,2011/02/18 21:31:39.196,Variant 1,1,Internet,General,,Resource02,task-13036,complete,Group 3
case-5531,T05 Print and send confirmation of receipt,Resource02,2011/02/18 21:31:49.205,Variant 1,1,Internet,General,,Resource02,task-13037,complete,Group 2
case-5531,T06 Determine necessity of stop advice,Resource02,2011/02/18 21:32:05.080,Variant 1,1,Internet,General,,Resource02,task-13034,complete,Group 1
case-5531,T10 Determine necessity to stop indication,Resource02,2011/02/18 21:32:43.980,Variant 1,1,Internet,General,,Resource02,task-13039,complete,Group 1
case-5531,T11 Create document X request unlicensed,Resource02,2011/02/18 21:46:14.108,Variant 1,1,Internet,General,,Resource02,task-13043,complete,Group 1
case-5531,T12 Check document X request unlicensed,Resource02,2011/02/18 21:46:27.790,Variant 1,1,Internet,General,,Resource02,task-13058,complete,Group 4
case-5531,T14 Determine document X request unlicensed,Resource02,2011/02/18 21:46:41.984,Variant 1,1,Internet,General,,Resource02,task-13059,complete,Group 3
case-5531,T15 Print document X request unlicensed,Resource02,2011/02/18 21:48:02.276,Variant 1,1,Internet,General,,Resource02,task-13060,complete,Group 2
case-5597,Confirmation of receipt,Resource07,2011/02/16 00:09:27.025,Variant 1,1,Desk,General,,Resource11,task-10085,complete,EMPTY
case-5597,T02 Check confirmation of receipt,Resource07,2011/02/16 00:09:49.796,Variant 1,1,Desk,General,,Resource11,task-12355,complete,Group 4
case-5597,T04 Determine confirmation of receipt,Resource07,2011/02/16 00:10:40.691,Variant 1,1,Desk,General,,Resource11,task-12357,complete,Group 3
case-5597,T05 Print and send confirmation of receipt,Resource07,2011/02/16 00:11:06.077,Variant 1,1,Desk,General,,Resource11,task-12358,complete,Group 2
case-5597,T06 Determine necessity of stop advice,Resource07,2011/02/16 00:11:24.982,Variant 1,1,Desk,General,,Resource11,task-12356,complete,Group 1
case-5597,T10 Determine necessity to stop indication,Resource07,2011/02/16 00:11:46.393,Variant 1,1,Desk,General,,Resource11,task-12359,complete,Group 1
case-5597,T11 Create document X request unlicensed,Resource07,2011/02/25 00:53:25.233,Variant 1,1,Desk,General,,Resource11,task-12360,complete,Group 1
case-5597,T12 Check document X request unlicensed,Resource01,2011/02/25 18:10:36.708,Variant 1,1,Desk,General,,Resource11,task-14128,complete,EMPTY
case-5597,T14 Determine document X request unlicensed,Resource19,2011/02/28 18:02:43.447,Variant 1,1,Desk,General,,Resource11,task-14193,complete,EMPTY
